location_id,date_utc,temperature_max_c,temperature_min_c,precipitation_mm,wind_max_kmh,rain_probability_max_pct,flow_median_m3s,flow_p25_m3s,flow_p75_m3s,weather_retrieved_utc,flood_retrieved_utc
hanwella,2026-09-17,28.3,23.6,7.7,17.5,99,5.34,5.32,5.37,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-18,27.8,23.0,32.1,16.8,100,5.37,5.26,5.58,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-19,28.3,22.6,53.0,11.8,100,5.75,5.5,6.4,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-20,27.7,22.5,44.9,13.3,100,6.78,6.01,7.74,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-21,26.9,22.9,31.6,14.2,100,7.89,6.8,10.26,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-22,26.8,23.0,38.7,15.0,100,9.16,6.98,12.4,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-23,25.6,23.3,37.1,13.1,100,10.91,8.24,13.67,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-24,26.3,23.2,51.5,16.9,100,13.62,10.06,16.04,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-25,25.9,23.4,42.7,15.7,100,15.67,11.38,18.19,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-26,27.1,23.1,45.1,17.0,96,16.46,12.14,20.18,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-27,25.3,23.1,35.3,12.9,94,16.5,12.32,19.63,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-28,26.3,23.4,20.6,9.7,95,15.37,11.63,18.62,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-29,28.1,23.3,18.6,9.6,97,14.6,11.09,17.86,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-09-30,26.9,22.7,19.9,9.1,90,14.17,10.74,17.37,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-10-01,30.2,23.1,7.1,7.5,89,13.55,10.36,16.95,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
hanwella,2026-10-02,31.1,23.6,2.1,13.7,68,13.13,10.09,16.02,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-17,27.9,23.7,20.3,8.3,100,21.18,21.08,21.34,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-18,27.3,23.7,29.5,12.6,100,21.7,21.05,22.8,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-19,27.7,23.5,44.3,10.7,100,24.23,22.8,26.8,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-20,28.4,23.3,34.2,11.1,100,27.91,25.36,37.02,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-21,26.7,23.3,29.9,14.9,100,31.43,27.58,46.64,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-22,26.5,23.4,31.5,11.4,100,38.45,30.33,52.33,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-23,26.1,23.2,30.4,7.6,100,49.0,36.54,67.62,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-24,26.5,23.1,70.3,9.1,100,68.82,49.06,82.11,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-25,26.8,23.2,44.1,6.8,100,82.75,61.66,100.74,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-26,27.0,23.0,49.5,6.6,99,90.2,66.92,105.67,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-27,26.6,23.4,31.1,14.4,95,86.1,66.53,105.54,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-28,27.4,24.0,21.4,10.8,99,79.91,62.76,100.39,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-29,27.8,23.6,31.2,7.6,100,75.56,60.83,95.61,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-09-30,27.2,22.7,29.3,3.6,96,75.56,59.42,92.76,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
ratnapura,2026-10-01,30.7,23.1,10.3,7.5,92,74.34,60.59,88.23,2026-09-17T06:42:47.917703+00:00,2026-09-17T06:42:48.718863+00:00
