date,rain,temp,humidity,wind,pressure,tmax,weather_model,location_id,q,flow_source,r3,r7,qp,rp,tp,wp,severity,district
2016-01-01,0.10000,27.76667,77.75000,16.90000,1013.45000,31.70000,ERA5,hanwella,9.54000,GloFAS v4 consolidated,,,99.67742,,11.93548,65.80645,2,Colombo
2016-01-02,1.20000,26.93750,80.83333,16.10000,1014.16250,30.30000,ERA5,hanwella,8.98000,GloFAS v4 consolidated,,,98.38710,,2.58065,59.67742,1,Colombo
2016-01-03,0.00000,27.98750,75.62500,20.60000,1012.77500,32.70000,ERA5,hanwella,8.53000,GloFAS v4 consolidated,1.30000,,96.12903,75.81699,42.25806,96.12903,1,Colombo
2016-01-04,0.00000,28.51667,76.41667,15.90000,1013.10417,33.60000,ERA5,hanwella,8.02000,GloFAS v4 consolidated,1.20000,,94.51613,74.83660,70.96774,58.38710,0,Colombo
2016-01-05,0.30000,28.00833,80.04167,12.90000,1012.39583,32.60000,ERA5,hanwella,7.53000,GloFAS v4 consolidated,0.30000,,93.22581,64.70588,36.77419,37.74194,0,Colombo
2016-01-06,1.10000,27.49167,81.12500,15.30000,1012.42083,32.40000,ERA5,hanwella,7.15000,GloFAS v4 consolidated,1.40000,,91.93548,76.79739,28.38710,56.12903,0,Colombo
2016-01-07,4.10000,27.71250,77.79167,11.60000,1013.26250,31.70000,ERA5,hanwella,6.98000,GloFAS v4 consolidated,5.50000,6.80000,91.29032,87.25490,11.93548,29.67742,0,Colombo
2016-01-08,0.00000,27.77083,72.62500,15.80000,1013.03333,32.30000,ERA5,hanwella,6.83000,GloFAS v4 consolidated,5.20000,6.70000,90.00000,86.60131,24.51613,57.74194,0,Colombo
2016-01-09,0.00000,28.57083,70.58333,13.80000,1011.68750,33.20000,ERA5,hanwella,6.46000,GloFAS v4 consolidated,4.10000,5.50000,88.70968,84.64052,57.09677,43.87097,0,Colombo
2016-01-10,0.80000,27.87083,74.83333,13.70000,1012.67500,30.80000,ERA5,hanwella,6.18000,GloFAS v4 consolidated,0.80000,6.30000,88.06452,71.56863,5.80645,42.58065,0,Colombo
2016-01-11,0.00000,28.20833,70.12500,17.30000,1012.28750,32.80000,ERA5,hanwella,5.89000,GloFAS v4 consolidated,0.80000,6.30000,86.77419,71.56863,45.80645,70.32258,0,Colombo
2016-01-12,0.00000,27.70833,67.58333,18.90000,1011.02917,32.80000,ERA5,hanwella,5.55000,GloFAS v4 consolidated,0.80000,6.00000,85.48387,71.56863,45.80645,84.19355,0,Colombo
2016-01-13,0.00000,27.49583,66.20833,16.30000,1011.60833,32.60000,ERA5,hanwella,5.25000,GloFAS v4 consolidated,0.00000,4.90000,84.19355,24.18301,36.77419,61.29032,0,Colombo
2016-01-14,0.00000,26.72917,66.20833,18.60000,1011.27917,32.50000,ERA5,hanwella,4.96000,GloFAS v4 consolidated,0.00000,0.80000,82.90323,24.18301,31.61290,80.96774,0,Colombo
2016-01-15,0.00000,27.13750,66.54167,10.60000,1010.85000,32.10000,ERA5,hanwella,4.68000,GloFAS v4 consolidated,0.00000,0.80000,81.61290,24.18301,19.35484,23.87097,0,Colombo
2016-01-16,0.00000,27.87917,68.20833,11.30000,1010.70833,33.50000,ERA5,hanwella,4.42000,GloFAS v4 consolidated,0.00000,0.80000,80.32258,24.18301,65.80645,28.06452,0,Colombo
2016-01-17,0.00000,28.00833,66.75000,10.20000,1010.32917,33.70000,ERA5,hanwella,4.19000,GloFAS v4 consolidated,0.00000,0.00000,79.03226,24.18301,74.19355,21.61290,0,Colombo
2016-01-18,0.00000,28.20417,67.58333,7.10000,1009.94167,34.20000,ERA5,hanwella,3.97000,GloFAS v4 consolidated,0.00000,0.00000,77.74194,24.18301,83.54839,6.77419,0,Colombo
2016-01-19,0.00000,28.67917,70.20833,7.20000,1009.93750,34.00000,ERA5,hanwella,3.76000,GloFAS v4 consolidated,0.00000,0.00000,75.80645,24.18301,80.32258,8.38710,0,Colombo
2016-01-20,0.00000,29.26250,70.91667,10.20000,1010.60417,34.50000,ERA5,hanwella,3.58000,GloFAS v4 consolidated,0.00000,0.00000,73.87097,24.18301,86.77419,21.61290,0,Colombo
2016-01-21,0.20000,29.55833,68.04167,9.40000,1010.93333,34.80000,ERA5,hanwella,3.41000,GloFAS v4 consolidated,0.20000,0.20000,72.58065,60.78431,91.61290,15.48387,0,Colombo
2016-01-22,0.00000,29.21250,68.83333,5.60000,1011.65833,34.70000,ERA5,hanwella,3.30000,GloFAS v4 consolidated,0.20000,0.20000,70.64516,60.78431,90.32258,1.61290,0,Colombo
2016-01-23,1.80000,28.77500,73.95833,10.10000,1012.13333,34.00000,ERA5,hanwella,3.17000,GloFAS v4 consolidated,2.00000,2.00000,68.70968,78.75817,80.32258,19.67742,0,Colombo
2016-01-24,4.60000,28.68333,76.04167,10.90000,1012.26250,34.60000,ERA5,hanwella,3.11000,GloFAS v4 consolidated,6.40000,6.60000,67.09677,88.88889,88.70968,26.77419,0,Colombo
2016-01-25,2.40000,28.85000,75.33333,11.40000,1011.26667,34.70000,ERA5,hanwella,3.11000,GloFAS v4 consolidated,8.80000,9.00000,67.09677,93.79085,90.32258,28.70968,0,Colombo
2016-01-26,0.40000,29.01250,70.04167,15.30000,1011.34583,35.10000,ERA5,hanwella,3.03000,GloFAS v4 consolidated,7.40000,9.40000,64.51613,90.52288,95.80645,56.12903,1,Colombo
2016-01-27,0.00000,28.25833,62.04167,14.60000,1011.52917,35.00000,ERA5,hanwella,2.92000,GloFAS v4 consolidated,2.80000,9.40000,62.58065,80.39216,94.19355,50.00000,0,Colombo
2016-01-28,0.00000,27.92500,63.87500,7.60000,1012.24583,34.80000,ERA5,hanwella,2.78000,GloFAS v4 consolidated,0.40000,9.20000,59.03226,67.32026,91.61290,10.32258,0,Colombo
2016-01-29,0.00000,27.52083,63.50000,17.30000,1012.42500,33.50000,ERA5,hanwella,2.66000,GloFAS v4 consolidated,0.00000,9.20000,56.45161,24.18301,65.80645,70.32258,0,Colombo
2016-01-30,0.00000,27.89167,60.66667,14.80000,1011.92917,33.50000,ERA5,hanwella,2.53000,GloFAS v4 consolidated,0.00000,7.40000,53.22581,24.18301,65.80645,50.96774,0,Colombo
2016-01-31,0.00000,28.30833,61.66667,17.80000,1011.19167,33.60000,ERA5,hanwella,2.42000,GloFAS v4 consolidated,0.00000,2.80000,50.00000,24.18301,70.96774,74.19355,0,Colombo
2016-02-01,0.00000,28.72083,60.87500,17.50000,1011.42500,34.10000,ERA5,hanwella,2.31000,GloFAS v4 consolidated,0.00000,0.40000,63.73239,13.02817,52.81690,92.60563,0,Colombo
2016-02-02,0.00000,28.24583,57.87500,20.00000,1011.51667,33.90000,ERA5,hanwella,2.22000,GloFAS v4 consolidated,0.00000,0.00000,59.50704,13.02817,48.59155,98.59155,1,Colombo
