date,rain,temp,humidity,wind,pressure,tmax,q,weather_model,flow_source,r3,r7,qp,rp,tp,wp,severity,location_id,district
2016-01-01,0.100000,27.766667,77.750000,16.900000,1013.450000,31.700000,9.540000,ERA5,GloFAS v4 consolidated,,,92.521994,,30.791789,70.234604,0,hanwella,Colombo
2016-01-02,1.200000,26.937500,80.833333,16.100000,1014.162500,30.300000,8.980000,ERA5,GloFAS v4 consolidated,,,91.348974,,13.343109,64.662757,0,hanwella,Colombo
2016-01-03,0.000000,27.987500,75.625000,20.600000,1012.775000,32.700000,8.530000,ERA5,GloFAS v4 consolidated,1.300000,,90.029326,55.752212,58.504399,94.721408,0,hanwella,Colombo
2016-01-04,0.000000,28.516667,76.416667,15.900000,1013.104167,33.600000,8.020000,ERA5,GloFAS v4 consolidated,1.200000,,87.683284,54.867257,81.085044,63.489736,0,hanwella,Colombo
2016-01-05,0.300000,28.008333,80.041667,12.900000,1012.395833,32.600000,7.530000,ERA5,GloFAS v4 consolidated,0.300000,,85.777126,42.330383,54.985337,40.762463,0,hanwella,Colombo
2016-01-06,1.100000,27.491667,81.125000,15.300000,1012.420833,32.400000,7.150000,ERA5,GloFAS v4 consolidated,1.400000,,84.750733,56.637168,46.920821,60.410557,0,hanwella,Colombo
2016-01-07,4.100000,27.712500,77.791667,11.600000,1013.262500,31.700000,6.980000,ERA5,GloFAS v4 consolidated,5.500000,6.800000,84.017595,68.879056,30.791789,32.258065,0,hanwella,Colombo
2016-01-08,0.000000,27.770833,72.625000,15.800000,1013.033333,32.300000,6.830000,ERA5,GloFAS v4 consolidated,5.200000,6.700000,83.431085,68.289086,43.988270,62.609971,0,hanwella,Colombo
2016-01-09,0.000000,28.570833,70.583333,13.800000,1011.687500,33.200000,6.460000,ERA5,GloFAS v4 consolidated,4.100000,5.500000,80.938416,66.814159,71.700880,48.093842,0,hanwella,Colombo
2016-01-10,0.800000,27.870833,74.833333,13.700000,1012.675000,30.800000,6.180000,ERA5,GloFAS v4 consolidated,0.800000,6.300000,79.032258,50.442478,18.621701,47.214076,0,hanwella,Colombo
2016-01-11,0.000000,28.208333,70.125000,17.300000,1012.287500,32.800000,5.890000,ERA5,GloFAS v4 consolidated,0.800000,6.300000,77.126100,50.442478,61.143695,74.046921,0,hanwella,Colombo
2016-01-12,0.000000,27.708333,67.583333,18.900000,1011.029167,32.800000,5.550000,ERA5,GloFAS v4 consolidated,0.800000,6.000000,75.219941,50.442478,61.143695,85.777126,0,hanwella,Colombo
2016-01-13,0.000000,27.495833,66.208333,16.300000,1011.608333,32.600000,5.250000,ERA5,GloFAS v4 consolidated,0.000000,4.900000,73.900293,15.781711,54.985337,66.275660,0,hanwella,Colombo
2016-01-14,0.000000,26.729167,66.208333,18.600000,1011.279167,32.500000,4.960000,ERA5,GloFAS v4 consolidated,0.000000,0.800000,72.287390,15.781711,50.586510,82.991202,0,hanwella,Colombo
2016-01-15,0.000000,27.137500,66.541667,10.600000,1010.850000,32.100000,4.680000,ERA5,GloFAS v4 consolidated,0.000000,0.800000,71.114370,15.781711,39.442815,25.806452,0,hanwella,Colombo
2016-01-16,0.000000,27.879167,68.208333,11.300000,1010.708333,33.500000,4.420000,ERA5,GloFAS v4 consolidated,0.000000,0.800000,69.648094,15.781711,77.565982,30.645161,0,hanwella,Colombo
2016-01-17,0.000000,28.008333,66.750000,10.200000,1010.329167,33.700000,4.190000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,67.595308,15.781711,83.431085,23.753666,0,hanwella,Colombo
2016-01-18,0.000000,28.204167,67.583333,7.100000,1009.941667,34.200000,3.970000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,65.689150,15.781711,89.442815,6.011730,0,hanwella,Colombo
2016-01-19,0.000000,28.679167,70.208333,7.200000,1009.937500,34.000000,3.760000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,62.609971,15.781711,87.536657,6.891496,0,hanwella,Colombo
2016-01-20,0.000000,29.262500,70.916667,10.200000,1010.604167,34.500000,3.580000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,60.850440,15.781711,91.642229,23.753666,0,hanwella,Colombo
2016-01-21,0.200000,29.558333,68.041667,9.400000,1010.933333,34.800000,3.410000,ERA5,GloFAS v4 consolidated,0.200000,0.200000,58.797654,39.233038,94.721408,18.035191,0,hanwella,Colombo
2016-01-22,0.000000,29.212500,68.833333,5.600000,1011.658333,34.700000,3.300000,ERA5,GloFAS v4 consolidated,0.200000,0.200000,57.331378,39.233038,93.548387,1.319648,0,hanwella,Colombo
2016-01-23,1.800000,28.775000,73.958333,10.100000,1012.133333,34.000000,3.170000,ERA5,GloFAS v4 consolidated,2.000000,2.000000,54.838710,60.029499,87.536657,22.580645,0,hanwella,Colombo
2016-01-24,4.600000,28.683333,76.041667,10.900000,1012.262500,34.600000,3.110000,ERA5,GloFAS v4 consolidated,6.400000,6.600000,53.958944,71.533923,92.521994,28.592375,0,hanwella,Colombo
2016-01-25,2.400000,28.850000,75.333333,11.400000,1011.266667,34.700000,3.110000,ERA5,GloFAS v4 consolidated,8.800000,9.000000,53.958944,76.696165,93.548387,31.818182,0,hanwella,Colombo
2016-01-26,0.400000,29.012500,70.041667,15.300000,1011.345833,35.100000,3.030000,ERA5,GloFAS v4 consolidated,7.400000,9.400000,51.906158,73.746313,97.653959,60.410557,1,hanwella,Colombo
2016-01-27,0.000000,28.258333,62.041667,14.600000,1011.529167,35.000000,2.920000,ERA5,GloFAS v4 consolidated,2.800000,9.400000,48.240469,63.126844,96.774194,53.079179,1,hanwella,Colombo
2016-01-28,0.000000,27.925000,63.875000,7.600000,1012.245833,34.800000,2.780000,ERA5,GloFAS v4 consolidated,0.400000,9.200000,43.548387,44.395280,94.721408,9.824047,0,hanwella,Colombo
2016-01-29,0.000000,27.520833,63.500000,17.300000,1012.425000,33.500000,2.660000,ERA5,GloFAS v4 consolidated,0.000000,9.200000,40.322581,15.781711,77.565982,74.046921,0,hanwella,Colombo
2016-01-30,0.000000,27.891667,60.666667,14.800000,1011.929167,33.500000,2.530000,ERA5,GloFAS v4 consolidated,0.000000,7.400000,36.510264,15.781711,77.565982,54.692082,0,hanwella,Colombo
2016-01-31,0.000000,28.308333,61.666667,17.800000,1011.191667,33.600000,2.420000,ERA5,GloFAS v4 consolidated,0.000000,2.800000,34.017595,15.781711,81.085044,78.299120,0,hanwella,Colombo
2016-02-01,0.000000,28.720833,60.875000,17.500000,1011.425000,34.100000,2.310000,ERA5,GloFAS v4 consolidated,0.000000,0.400000,58.038585,9.324759,54.180064,90.192926,0,hanwella,Colombo
2016-02-02,0.000000,28.245833,57.875000,20.000000,1011.516667,33.900000,2.220000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,54.180064,9.324759,48.553055,98.392283,1,hanwella,Colombo
2016-02-03,0.000000,28.433333,53.416667,16.100000,1011.308333,34.700000,2.130000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,49.839228,9.324759,68.649518,84.565916,0,hanwella,Colombo
2016-02-04,0.000000,28.662500,57.708333,13.900000,1011.137500,34.000000,2.050000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,47.427653,9.324759,50.964630,70.578778,0,hanwella,Colombo
2016-02-05,0.000000,28.858333,62.625000,11.800000,1010.970833,34.400000,1.970000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,45.016077,9.324759,62.218650,53.215434,0,hanwella,Colombo
2016-02-06,0.000000,29.950000,66.583333,12.200000,1010.404167,35.500000,1.890000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,41.961415,9.324759,84.244373,56.430868,0,hanwella,Colombo
2016-02-07,0.000000,29.337500,69.666667,7.900000,1011.570833,32.900000,1.840000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,40.836013,9.324759,28.295820,5.948553,0,hanwella,Colombo
2016-02-08,0.000000,29.975000,68.500000,11.500000,1010.879167,35.300000,1.770000,ERA5,GloFAS v4 consolidated,0.000000,0.000000,36.816720,9.324759,80.225080,50.321543,0,hanwella,Colombo
2016-02-09,1.100000,29.458333,71.833333,8.500000,1011.354167,35.100000,1.720000,ERA5,GloFAS v4 consolidated,1.100000,1.100000,34.565916,47.427653,76.848875,10.771704,0,hanwella,Colombo
